id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7192,66d706c9-5be3-43d9-924b-518d19d88762,GB-R3-U6,"Gondola R3 Back U6",2026-07-31T03:19:24.967Z,2026-07-31T03:20:39.367Z,2026-07-31T03:19:24.967Z,2026-07-31T03:20:39.367Z,74.4,74.4,2026-07-31T03:19:24.967Z
7175,43877932-b778-4cdb-bee1-354f77b763aa,PW-02,"West Wall Bay 2",2026-07-31T03:19:23.940Z,2026-07-31T03:20:21.740Z,2026-07-31T03:19:23.940Z,2026-07-31T03:20:21.740Z,57.8,57.8,2026-07-31T03:19:23.940Z
7181,d153620b-2299-4c6b-be6a-a2755f2f2229,PE-01,"East Wall Bay 1",2026-07-31T03:19:23.659Z,2026-07-31T03:20:25.059Z,2026-07-31T03:19:23.659Z,2026-07-31T03:20:25.059Z,61.4,61.4,2026-07-31T03:19:23.659Z
7188,06ac5f62-ac1f-4f0a-99cf-de0786bb6a14,GB-R1-U4,"Gondola R1 Back U4",2026-07-31T03:19:23.216Z,2026-07-31T03:20:33.216Z,2026-07-31T03:19:23.216Z,2026-07-31T03:20:33.216Z,70.0,70.0,2026-07-31T03:19:23.216Z
7170,0db890db-93c9-442d-b9f1-8f4703f73777,GB-R1-U2,"Gondola R1 Back U2",2026-07-31T03:19:22.552Z,2026-07-31T03:20:11.952Z,2026-07-31T03:19:22.552Z,2026-07-31T03:20:11.952Z,49.4,49.4,2026-07-31T03:19:22.552Z
7182,99f2bed2-f52c-4714-87c9-e6f7b0b47598,GF-R4-U2,"Gondola R4 Front U2",2026-07-31T03:19:21.206Z,2026-07-31T03:20:27.806Z,2026-07-31T03:19:21.206Z,2026-07-31T03:20:27.806Z,66.6,66.6,2026-07-31T03:19:21.206Z
7178,d2b21539-9898-4ff2-b56e-eef644afad74,GF-R3-U4,"Gondola R3 Front U4",2026-07-31T03:19:21.171Z,2026-07-31T03:20:21.371Z,2026-07-31T03:19:21.171Z,2026-07-31T03:20:21.371Z,60.2,60.2,2026-07-31T03:19:21.171Z
7193,ce26fc35-f54b-4812-9d7e-354bc8ee9d9f,GB-R1-U2,"Gondola R1 Back U2",2026-07-31T03:19:20.337Z,2026-07-31T03:20:42.537Z,2026-07-31T03:19:20.337Z,2026-07-31T03:20:42.537Z,82.2,82.2,2026-07-31T03:19:20.337Z
7176,c3659024-718b-4974-b01b-d3a325054753,GF-R5-U5,"Gondola R5 Front U5",2026-07-31T03:19:19.204Z,2026-07-31T03:20:20.804Z,2026-07-31T03:19:19.204Z,2026-07-31T03:20:20.804Z,61.6,61.6,2026-07-31T03:19:19.204Z
7194,b6786d7f-9d17-4719-ad39-a6ca064a63ac,PE-03,"East Wall Bay 3",2026-07-31T03:19:18.637Z,2026-07-31T03:20:45.837Z,2026-07-31T03:19:18.637Z,2026-07-31T03:20:45.837Z,87.2,87.2,2026-07-31T03:19:18.637Z
